GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,ESCF,G gas,G solv,TOTAL
0,-2029.0018,-18986.507,-3287.4596,82.13033232,76.4101,-21015.5088,-3205.32926768,-24144.4279677
1,-2046.9226,-18965.1103,-3349.4627,81.75218544,98.3869,-21012.0329,-3267.71051456,-24181.3565146
2,-2053.1906,-19013.4557,-3314.8507,82.4700564,107.5064,-21066.6463,-3232.3806436,-24191.5205436
3,-2059.9464,-18961.2931,-3358.562,82.39163976,84.7141,-21021.2395,-3276.17036024,-24212.6957602
4,-2059.9916,-18968.5494,-3350.3377,84.57213096,91.7696,-21028.541,-3265.76556904,-24202.536969
5,-2029.1748,-18897.6581,-3343.9171,83.24405352,97.0966,-20926.8329,-3260.67304648,-24090.4093465
6,-2055.7836,-18942.7145,-3360.0595,82.15655832,92.1737,-20998.4981,-3277.90294168,-24184.2273417
7,-2043.3818,-19004.5933,-3312.9913,80.90308728,87.438,-21047.9751,-3232.08821272,-24192.6253127
8,-2089.7681,-18963.1971,-3317.5439,80.55682128,107.0762,-21052.9652,-3236.98707872,-24182.8760787
9,-2062.7689,-18989.9517,-3316.0741,82.08578592,82.5839,-21052.7206,-3233.98831408,-24204.1250141
10,-2049.614,-18936.5815,-3326.6205,82.61374752,98.0437,-20986.1955,-3244.00675248,-24132.1585525
11,-2072.1448,-19030.529,-3306.8926,82.24608456,100.4542,-21102.6738,-3224.64651544,-24226.8661154
12,-2052.7555,-19048.8951,-3322.1947,81.08829936,92.7788,-21101.6506,-3241.10640064,-24249.9782006
13,-2073.1661,-19010.8375,-3342.8536,82.83682152,87.1965,-21084.0036,-3260.01677848,-24256.8238785
14,-2062.1825,-18928.8161,-3331.4242,82.21266936,79.2446,-20990.9986,-3249.21153064,-24160.9655306
15,-2053.8806,-18954.2265,-3351.0438,80.91744984,98.5192,-21008.1071,-3270.12635016,-24179.7142502
16,-2051.7511,-18954.4351,-3385.7682,83.91442248,88.0289,-21006.1862,-3301.85377752,-24220.0110775
17,-2060.0825,-18891.9499,-3397.2922,82.83247416,94.1644,-20952.0324,-3314.45972584,-24172.3277258
18,-2005.6139,-18987.6427,-3336.3903,84.71071728,103.1953,-20993.2566,-3251.67958272,-24141.7408827
19,-2066.6781,-19012.8269,-3302.1793,82.09478088,87.6836,-21079.505,-3220.08451912,-24211.9059191
20,-2045.3297,-19119.5153,-3214.1326,81.31280976,85.5365,-21164.845,-3132.81979024,-24212.1282902
21,-2022.459,-19214.7299,-3232.7346,83.00986776,95.9629,-21237.1889,-3149.72473224,-24290.9507322
22,-2062.2503,-19041.8264,-3288.8347,84.55753944,96.0624,-21104.0767,-3204.27716056,-24212.2914606
23,-2057.7486,-19093.9012,-3245.6943,82.73557008,98.31,-21151.6498,-3162.95872992,-24216.2985299
24,-2076.6018,-19081.7687,-3256.2196,84.33047304,89.8043,-21158.3705,-3171.88912696,-24240.455327
25,-2062.7451,-19071.1539,-3256.8498,84.34631592,93.2734,-21133.899,-3172.50348408,-24213.1290841
26,-2078.9081,-19035.7055,-3278.5059,84.49918128,92.9804,-21114.6136,-3194.00671872,-24215.6399187
27,-2049.1564,-19084.42,-3269.4217,82.73475648,86.0543,-21133.5764,-3186.68694352,-24234.2090435
28,-2059.4426,-19113.7477,-3282.2392,82.50844032,88.8209,-21173.1903,-3199.73075968,-24284.1001597
29,-2070.841,-19142.6576,-3222.7381,80.05569696,95.8815,-21213.4986,-3142.68240304,-24260.299503
30,-2023.961,-19024.3316,-3294.1477,81.74631816,83.0634,-21048.2926,-3212.40138184,-24177.6305818
31,-2080.2518,-19102.9873,-3242.8648,81.69791688,113.3412,-21183.2391,-3161.16688312,-24231.0647831
32,-2051.9657,-19067.5565,-3260.1697,81.22185864,103.4983,-21119.5222,-3178.94784136,-24194.9717414
33,-2043.0107,-18993.5869,-3323.2023,82.3575672,79.5686,-21036.5976,-3240.8447328,-24197.8737328
34,-2081.1162,-19034.4124,-3293.4219,80.98520184,93.5051,-21115.5286,-3212.43669816,-24234.4601982
35,-2058.3293,-19084.1164,-3284.1998,79.8675552,88.6608,-21142.4457,-3204.3322448,-24258.1171448
36,-2052.9907,-18998.572,-3321.7298,80.63793216,92.8823,-21051.5627,-3241.09186784,-24199.7722678
37,-2048.1055,-18968.0427,-3344.4183,81.26407656,117.971,-21016.1482,-3263.15422344,-24161.3314234
38,-2059.6287,-18920.5958,-3385.1651,82.05104592,92.6317,-20980.2245,-3303.11405408,-24190.7068541
